customer_id,age,gender,city,income_level,loyalty_score,membership_years,total_spent,avg_purchase_value,purchase_frequency,preferred_category,last_purchase_days_ago,discount_usage_rate,online_shopper,email_open_rate,sms_response_rate,app_usage,returns_count,satisfaction_score,churn_risk,campaign_response,referral_count,preferred_payment,coupon_redeemed,seasonal_spender,weekend_shopper,avg_cart_size,store_visits_per_month,website_visits_per_month,app_sessions_per_month,customer_segment,preferred_channel,complaints_count,net_promoter_score,account_age_days,has_subscription,subscription_type,days_since_last_login,engagement_score,lifetime_value_estimate,client_value,client_risk
CUST100004,60,Male,Karaganda,Low,76.39,0,2439.07,373.03,26.0,Clothing,54,0.24,False,0.95,0.91,High,15.0,1.26,Medium,Yes,7,Cash,False,False,True,16.46,10,28,17,Platinum,SMS,2,42,2301,False,0,88,36.64,9779.39,186320.55730000001,0.5555555555555556
CUST100006,38,Female,Shymkent,Low,54.88,6,7678.72,148.62,5.0,Clothing,292,0.41,False,0.11,0.63,High,4.0,4.91,Low,No,8,Online Wallet,False,True,True,12.48,1,33,37,Platinum,SMS,9,-1,2820,True,0,164,44.19,15902.53,421408.1536,0.6666666666666666
CUST100007,56,Female,Almaty,Medium,46.58,6,8945.7,399.09,44.0,Electronics,154,0.05,False,0.73,0.01,Medium,11.0,2.58,Low,No,1,Card,False,True,False,10.23,10,4,23,Bronze,Email,0,83,2500,True,0,175,10.74,4937.76,416690.706,0.24444444444444444
CUST100009,40,Male,Karaganda,High,85.81,6,2175.57,271.32,45.0,Electronics,179,0.45,True,0.72,0.2,Medium,11.0,4.56,High,No,0,Card,False,True,False,12.08,5,37,27,Silver,Email,3,29,188,False,0,196,57.53,10987.73,186685.66170000003,0.2391304347826087
CUST100010,28,Female,Shymkent,Low,30.3,2,7759.5,369.01,37.0,Clothing,341,0.01,False,0.64,0.6,Medium,10.0,1.7,Medium,No,7,Cash,False,True,True,2.02,10,20,29,Gold,Social Media,3,57,1273,True,0,209,95.7,3886.63,235112.85,0.2631578947368421
CUST100011,28,Female,Astana,High,22.09,4,8176.76,442.38,15.0,Groceries,126,0.22,True,0.53,0.71,Low,3.0,4.53,High,No,1,Cash,False,False,False,7.54,4,19,31,Bronze,Social Media,4,-95,857,True,Basic,280,61.42,6239.85,180624.62840000002,0.1875
CUST100012,41,Female,Karaganda,Medium,67.02,6,5051.59,286.98,2.0,Electronics,174,0.96,True,0.03,0.09,Medium,12.0,2.03,High,No,1,Online Wallet,True,False,True,11.31,12,45,31,Platinum,Email,7,-29,2587,True,0,76,38.88,13750.33,338557.56179999997,4.0
CUST100013,53,Male,Karaganda,High,91.47,9,6979.34,132.87,34.0,Electronics,57,0.5,False,0.81,0.29,Medium,19.0,1.21,Medium,No,1,Card,False,True,False,4.09,14,29,23,Silver,Social Media,5,81,1225,False,Premium,206,54.15,17910.11,638400.2298,0.5428571428571428
CUST100015,41,Male,Almaty,Low,27.24,9,8510.33,385.15,30.0,Electronics,140,0.32,False,0.11,0.77,High,7.0,3.07,Medium,No,4,Online Wallet,True,True,True,15.05,2,28,4,Platinum,Email,9,-6,2688,False,0,246,40.24,17060.43,231821.38919999998,0.22580645161290322
CUST100016,20,Female,Astana,High,22.61,1,8344.01,81.01,16.0,Beauty,47,0.42,False,0.19,0.34,High,19.0,3.5,Medium,No,3,Card,False,True,False,15.39,2,18,5,Silver,Social Media,6,10,2895,True,0,264,42.74,3015.32,188658.0661,1.1176470588235294
CUST100017,39,Male,Almaty,Medium,25.45,5,6964.68,436.83,44.0,Beauty,155,0.21,True,0.66,0.5,Low,11.0,1.1,Medium,No,5,Cash,True,True,False,11.74,2,40,34,Bronze,Social Media,2,-99,3185,False,0,158,18.57,770.85,177251.106,0.24444444444444444
CUST100021,47,Female,Almaty,High,61.49,7,3689.2,458.23,41.0,Clothing,124,0.25,False,0.31,0.86,High,0.0,1.24,Medium,No,0,Card,True,True,True,12.15,9,12,16,Silver,Social Media,5,47,611,False,0,349,80.86,9659.39,226848.908,0.0
CUST100024,38,Female,Shymkent,Low,53.61,2,7596.21,203.45,8.0,Groceries,136,0.51,True,0.84,0.39,Low,16.0,4.84,High,No,0,Card,False,True,False,13.63,11,24,37,Silver,App,8,-70,2479,True,0,168,66.87,4719.0,407232.8181,1.7777777777777777
CUST100025,50,Male,Karaganda,Low,51.15,1,7755.2,496.06,14.0,Clothing,115,0.08,True,0.31,0.54,Low,3.0,1.21,High,No,6,Cash,True,False,True,13.07,9,31,36,Silver,SMS,9,47,487,True,Basic,353,32.88,14805.74,396678.48,0.2
CUST100027,39,Female,Almaty,Medium,82.71,4,7650.59,393.33,43.0,Electronics,277,0.43,False,0.45,0.43,Medium,0.0,3.4,Low,No,5,Cash,False,False,True,9.73,11,21,29,Bronze,App,4,-1,950,False,0,220,26.3,14294.29,632780.2988999999,0.0
CUST100030,66,Female,Karaganda,High,55.55,8,5882.17,288.21,25.0,Beauty,205,0.82,True,0.0,0.51,Low,7.0,3.74,Medium,No,4,Card,False,True,True,17.65,2,26,7,Gold,App,0,79,2511,True,Premium,118,75.19,12334.01,326754.54349999997,0.2692307692307692
CUST100032,59,Female,Almaty,Medium,41.86,9,9392.64,398.37,32.0,Clothing,224,0.05,True,0.77,0.77,Low,4.0,2.21,High,Yes,8,Card,True,False,False,3.36,11,31,31,Gold,Social Media,7,99,1429,False,Premium,69,67.16,19184.02,393175.9104,0.12121212121212122
CUST100034,33,Male,Karaganda,Low,57.95,9,4822.62,243.4,46.0,Groceries,185,0.86,True,0.23,0.34,Low,17.0,2.73,High,No,8,Card,True,True,True,1.9,11,25,38,Platinum,Social Media,7,-15,562,True,Basic,338,95.84,4589.9,279470.829,0.3617021276595745
CUST100035,32,Male,Astana,High,31.67,6,8150.97,216.15,39.0,Clothing,332,0.98,True,0.54,0.01,High,9.0,4.1,Low,Yes,4,Cash,False,True,True,4.15,4,29,39,Bronze,Email,7,-70,3145,True,Basic,253,89.67,7431.17,258141.21990000003,0.225
CUST100036,64,Female,Astana,Low,70.92,4,4060.52,404.07,26.0,Groceries,62,0.13,True,0.31,0.21,Medium,13.0,1.39,High,Yes,6,Card,False,False,False,8.16,14,13,19,Platinum,Email,0,-93,1064,False,Basic,110,74.09,4417.36,287972.0784,0.48148148148148145
CUST100038,61,Male,Almaty,Medium,82.32,2,3544.65,348.68,7.0,Electronics,363,0.91,True,0.12,0.59,Low,14.0,1.34,High,Yes,6,Card,False,True,True,16.94,0,34,20,Bronze,SMS,5,36,2614,True,Premium,131,15.75,4955.78,291795.588,1.75
CUST100040,20,Male,Shymkent,Low,99.27,6,4732.76,293.1,45.0,Electronics,74,0.23,False,0.52,0.32,Medium,1.0,2.18,Low,No,9,Card,True,True,True,12.57,3,27,11,Platinum,Email,2,-47,2265,False,0,52,38.01,10710.98,469821.08520000003,0.021739130434782608
CUST100041,54,Male,Almaty,Low,31.65,1,9464.69,124.32,4.0,Electronics,193,0.8,False,0.31,0.79,High,5.0,4.67,High,No,1,Card,True,False,False,2.91,6,43,2,Platinum,Email,7,52,1441,False,Premium,354,72.81,5936.74,299557.4385,1.0
CUST100042,68,Male,Shymkent,Medium,87.88,1,9366.58,105.21,44.0,Beauty,228,1.0,False,0.66,0.33,High,9.0,3.78,High,No,0,Card,True,False,True,15.68,2,46,10,Silver,Social Media,9,-38,2963,False,Premium,9,1.51,2787.29,823135.0504,0.2
CUST100043,24,Female,Almaty,Low,39.74,0,5497.1,356.41,25.0,Beauty,347,0.49,False,0.51,0.96,Low,7.0,2.34,High,No,9,Online Wallet,True,True,False,4.53,7,48,7,Silver,SMS,6,79,2455,True,Premium,138,80.76,4641.21,218454.75400000002,0.2692307692307692
CUST100045,26,Female,Karaganda,Medium,22.62,0,8100.8,92.11,7.0,Clothing,194,0.85,True,0.53,0.41,High,12.0,3.91,Low,Yes,1,Card,False,False,True,4.75,13,34,27,Platinum,Social Media,1,-84,2051,True,Basic,337,71.64,5482.88,183240.09600000002,1.5
CUST100046,56,Male,Almaty,Medium,85.02,5,6841.2,470.77,22.0,Beauty,151,0.39,False,0.95,0.15,Low,6.0,3.78,Medium,Yes,1,Card,True,True,False,12.6,10,37,15,Platinum,Social Media,6,-53,3645,False,0,328,58.86,19847.0,581638.8239999999,0.2608695652173913
CUST100047,35,Male,Astana,Medium,30.88,4,8827.48,130.4,4.0,Beauty,327,0.27,True,0.07,0.23,Medium,18.0,3.4,Low,Yes,5,Cash,False,False,False,6.33,3,48,11,Gold,SMS,1,-67,2300,False,Basic,233,86.68,2048.42,272592.58239999996,3.6
CUST100048,21,Male,Karaganda,High,33.86,9,7333.06,165.03,29.0,Electronics,197,0.49,True,0.92,0.11,High,3.0,4.49,Low,Yes,4,Online Wallet,False,False,False,8.19,5,11,39,Bronze,App,2,-20,2997,False,Basic,76,62.22,19207.96,248297.41160000002,0.1
CUST100049,42,Female,Astana,Medium,19.7,7,9528.21,318.43,24.0,Electronics,98,0.86,True,0.13,0.11,Medium,8.0,3.45,High,No,4,Card,False,True,True,8.33,13,6,18,Bronze,SMS,4,84,1007,True,Basic,326,36.16,13997.51,187705.73699999996,0.32
CUST100050,31,Male,Shymkent,High,96.13,4,8873.83,222.98,40.0,Electronics,119,0.23,False,0.21,0.63,Medium,6.0,2.45,Low,Yes,1,Online Wallet,True,False,True,14.7,1,49,37,Platinum,Social Media,9,-73,3302,False,0,203,40.61,7339.0,853041.2779,0.14634146341463414
CUST100051,67,Male,Shymkent,Medium,24.47,0,8566.97,281.71,38.0,Groceries,253,0.42,True,0.98,0.78,High,9.0,3.94,Low,No,6,Online Wallet,False,True,False,14.25,2,14,36,Silver,App,0,-78,2071,False,Premium,134,81.85,5981.27,209633.75589999996,0.23076923076923078
CUST100053,43,Male,Almaty,Medium,94.39,5,3923.5,337.84,12.0,Groceries,361,0.83,True,0.35,0.22,Low,4.0,3.46,Low,Yes,0,Card,True,True,True,1.68,7,11,1,Platinum,Email,9,-1,1104,True,Premium,116,14.87,17913.96,370339.165,0.3076923076923077
CUST100054,19,Male,Astana,High,90.09,7,7437.91,82.51,9.0,Groceries,253,0.68,True,0.4,0.32,Low,6.0,1.15,Low,Yes,3,Card,False,True,False,1.96,7,45,13,Silver,Social Media,4,64,3378,True,0,289,59.92,15379.81,670081.3119,0.6
CUST100056,45,Female,Astana,Medium,86.47,9,3289.92,264.19,13.0,Groceries,285,0.69,False,0.23,0.6,Medium,8.0,1.33,High,Yes,9,Online Wallet,False,False,False,18.26,10,27,24,Gold,Social Media,0,27,463,True,Basic,305,39.71,15457.08,284479.3824,0.5714285714285714
CUST100057,64,Male,Shymkent,High,24.98,7,9329.02,409.02,30.0,Beauty,39,0.59,False,0.06,0.11,Low,19.0,4.85,Medium,Yes,5,Card,False,True,True,19.57,4,43,37,Gold,SMS,1,-21,2926,True,Premium,25,97.54,12441.61,233038.91960000002,0.6129032258064516
CUST100059,61,Male,Karaganda,Low,82.04,0,2771.99,191.88,35.0,Clothing,116,0.83,True,0.5,0.72,Medium,7.0,2.21,Low,No,5,Card,False,True,True,7.89,3,18,36,Platinum,SMS,3,91,3531,True,Basic,146,76.62,19293.11,227414.0596,0.19444444444444445
CUST100060,25,Female,Karaganda,High,77.16,0,4816.88,424.18,26.0,Groceries,13,0.61,True,0.53,0.98,High,5.0,2.05,Low,Yes,4,Card,False,False,False,11.3,7,35,26,Platinum,Social Media,1,-59,2632,False,Basic,164,40.62,15401.63,371670.4608,0.18518518518518517
