customer_id,age,gender,city,income_level,loyalty_score,membership_years,total_spent,avg_purchase_value,purchase_frequency,preferred_category,last_purchase_days_ago,discount_usage_rate,online_shopper,email_open_rate,sms_response_rate,app_usage,returns_count,satisfaction_score,churn_risk,campaign_response,referral_count,preferred_payment,coupon_redeemed,seasonal_spender,weekend_shopper,avg_cart_size,store_visits_per_month,website_visits_per_month,app_sessions_per_month,customer_segment,preferred_channel,complaints_count,net_promoter_score,account_age_days,has_subscription,subscription_type,days_since_last_login,engagement_score,lifetime_value_estimate,customer_numeric_id,spend_per_purchase,return_ratio,engagement_score_custom,client_score
CUST100000,56,Male,Almaty,Medium,99.42,4,433.29,189.42,48,Groceries,160,0.6,False,0.62,0.82,Medium,0,3.49,High,Yes,9,Card,False,True,True,2.33,11,48,28,Bronze,App,7,-3,1531,False,Premium,234,15.28,17877.63,100000.0,10.026875,1.0,38.0,246.471
CUST100001,69,Female,Karaganda,High,56.74,2,2550.19,431.02,28,Beauty,255,0.23,False,0.3,0.35,High,13,1.06,High,No,6,Card,True,True,False,1.31,2,14,12,Bronze,SMS,8,74,1501,False,,277,64.51,17113.97,100001.0,92.07821428571428,1.4642857142857144,13.0,1289.517
CUST100002,46,Female,Astana,Low,17.38,3,2581.99,213.06,33,Clothing,180,0.21,True,0.89,0.48,Low,16,2.01,High,Yes,3,Cash,False,False,False,11.58,7,31,29,Platinum,Email,6,-73,98,True,Premium,219,2.12,11038.52,100002.0,79.2421212121212,1.4848484848484849,30.0,1293.0089999999998
CUST100003,32,Female,Shymkent,Low,16.31,3,4508.94,467.89,38,Beauty,88,0.54,True,0.3,0.57,High,7,1.36,High,No,7,Online Wallet,True,True,False,2.19,10,0,26,Gold,Social Media,8,-93,320,False,Premium,241,21.23,18700.16,100003.0,119.65631578947368,1.1842105263157894,13.0,2257.9629999999997
CUST100004,60,Male,Karaganda,Low,76.39,0,2439.07,373.03,26,Clothing,54,0.24,False,0.95,0.91,High,15,1.26,Medium,Yes,7,Cash,False,False,True,16.46,10,28,17,Platinum,SMS,2,42,2301,False,,88,36.64,9779.39,100004.0,94.81038461538462,1.5769230769230769,22.5,1239.452
CUST100005,25,Female,Almaty,High,59.19,5,1936.03,355.18,24,Electronics,172,0.11,True,0.04,0.93,Medium,10,2.88,Medium,Yes,3,Card,True,False,True,12.67,1,42,29,Bronze,SMS,2,-53,3504,False,,230,44.58,8404.88,100005.0,81.66791666666667,1.4166666666666667,35.5,983.7719999999999
CUST100006,38,Female,Shymkent,Low,54.88,6,7678.72,148.62,5,Clothing,292,0.41,False,0.11,0.63,High,4,4.91,Low,No,8,Online Wallet,False,True,True,12.48,1,33,37,Platinum,SMS,9,-1,2820,True,,164,44.19,15902.53,100006.0,1536.7440000000001,1.8,35.0,3855.024
CUST100007,56,Female,Almaty,Medium,46.58,6,8945.7,399.09,44,Electronics,154,0.05,False,0.73,0.01,Medium,11,2.58,Low,No,1,Card,False,True,False,10.23,10,4,23,Bronze,Email,0,83,2500,True,,175,10.74,4937.76,100007.0,204.31136363636367,1.25,13.5,4484.624000000001
CUST100008,36,Male,Astana,High,72.51,5,764.69,57.11,17,Clothing,217,0.91,True,0.61,0.19,Low,14,4.87,Medium,Yes,9,Cash,False,True,True,9.24,4,13,18,Platinum,App,1,7,573,False,Premium,182,18.0,15606.55,100008.0,45.981764705882355,1.8235294117647058,15.5,401.298
CUST100009,40,Male,Karaganda,High,85.81,6,2175.57,271.32,45,Electronics,179,0.45,True,0.72,0.2,Medium,11,4.56,High,No,0,Card,False,True,False,12.08,5,37,27,Silver,Email,3,29,188,False,,196,57.53,10987.73,100009.0,49.346000000000004,1.2444444444444445,32.0,1111.328
CUST100010,28,Female,Shymkent,Low,30.3,2,7759.5,369.01,37,Clothing,341,0.01,False,0.64,0.6,Medium,10,1.7,Medium,No,7,Cash,False,True,True,2.02,10,20,29,Gold,Social Media,3,57,1273,True,,209,95.7,3886.63,100010.0,210.71621621621622,1.2702702702702702,24.5,3886.84
CUST100011,28,Female,Astana,High,22.09,4,8176.76,442.38,15,Groceries,126,0.22,True,0.53,0.71,Low,3,4.53,High,No,1,Cash,False,False,False,7.54,4,19,31,Bronze,Social Media,4,-95,857,True,Basic,280,61.42,6239.85,100011.0,546.1173333333334,1.2,25.0,4094.407
CUST100012,41,Female,Karaganda,Medium,67.02,6,5051.59,286.98,2,Electronics,174,0.96,True,0.03,0.09,Medium,12,2.03,High,No,1,Online Wallet,True,False,True,11.31,12,45,31,Platinum,Email,7,-29,2587,True,,76,38.88,13750.33,100012.0,2526.795,7.0,38.0,2543.501
CUST100013,53,Male,Karaganda,High,91.47,9,6979.34,132.87,34,Electronics,57,0.5,False,0.81,0.29,Medium,19,1.21,Medium,No,1,Card,False,True,False,4.09,14,29,23,Silver,Social Media,5,81,1225,False,Premium,206,54.15,17910.11,100013.0,206.27470588235295,1.5588235294117647,26.0,3513.3109999999997
CUST100014,57,Male,Almaty,Medium,34.82,4,868.24,425.19,20,Groceries,134,0.36,True,0.51,0.51,High,15,1.48,Low,No,4,Online Wallet,False,False,False,18.85,12,26,32,Silver,App,3,-48,1748,True,Premium,347,73.16,17675.93,100014.0,44.412,1.75,29.0,441.56600000000003
CUST100015,41,Male,Almaty,Low,27.24,9,8510.33,385.15,30,Electronics,140,0.32,False,0.11,0.77,High,7,3.07,Medium,No,4,Online Wallet,True,True,True,15.05,2,28,4,Platinum,Email,9,-6,2688,False,,246,40.24,17060.43,100015.0,284.67766666666665,1.2333333333333334,16.0,4261.937
CUST100016,20,Female,Astana,High,22.61,1,8344.01,81.01,16,Beauty,47,0.42,False,0.19,0.34,High,19,3.5,Medium,No,3,Card,False,True,False,15.39,2,18,5,Silver,Social Media,6,10,2895,True,,264,42.74,3015.32,100016.0,522.500625,2.1875,11.5,4174.988
CUST100017,39,Male,Almaty,Medium,25.45,5,6964.68,436.83,44,Beauty,155,0.21,True,0.66,0.5,Low,11,1.1,Medium,No,5,Cash,True,True,False,11.74,2,40,34,Bronze,Social Media,2,-99,3185,False,,158,18.57,770.85,100017.0,159.2881818181818,1.25,37.0,3487.7750000000005
CUST100018,19,Female,Astana,Low,13.49,6,9171.64,480.14,4,Clothing,183,0.75,True,0.08,0.5,High,4,3.81,Low,Yes,8,Cash,False,False,True,7.02,11,18,9,Bronze,Social Media,6,-100,2971,True,,68,2.98,8436.63,100018.0,2293.91,2.0,13.5,4589.066999999999
CUST100019,41,Female,Astana,Medium,59.68,1,571.58,271.18,31,Beauty,215,0.51,True,0.87,0.93,High,16,1.3,Low,No,4,Cash,True,False,False,18.93,2,32,28,Platinum,Email,8,83,1814,False,Premium,264,75.37,6870.52,100019.0,19.438064516129035,1.5161290322580645,30.0,300.494
CUST100020,61,Male,Astana,High,28.08,9,2386.54,23.99,26,Clothing,162,0.75,True,0.79,0.85,High,2,3.6,High,No,5,Cash,True,True,False,14.46,2,3,9,Bronze,Email,4,-36,1758,True,,183,71.97,19291.27,100020.0,92.78999999999999,1.0769230769230769,6.0,1201.2939999999999
CUST100021,47,Female,Almaty,High,61.49,7,3689.2,458.23,41,Clothing,124,0.25,False,0.31,0.86,High,0,1.24,Medium,No,0,Card,True,True,True,12.15,9,12,16,Silver,Social Media,5,47,611,False,,349,80.86,9659.39,100021.0,90.98048780487804,1.0,14.0,1863.0469999999998
CUST100022,55,Male,Shymkent,Medium,8.3,4,1670.03,65.77,12,Beauty,310,0.0,False,0.88,0.17,Medium,15,2.2,Medium,Yes,4,Cash,True,False,False,11.62,7,44,2,Platinum,Email,6,7,1332,True,Basic,5,27.37,11160.21,100022.0,140.16916666666665,2.25,23.0,834.505
CUST100023,19,Female,Astana,Low,11.55,7,8166.79,318.4,2,Groceries,352,0.97,False,0.89,0.9,High,2,4.54,High,No,5,Card,False,True,True,8.91,4,26,0,Gold,App,6,31,424,False,Premium,216,83.72,10932.98,100023.0,4084.395,2.0,13.0,4086.46
CUST100024,38,Female,Shymkent,Low,53.61,2,7596.21,203.45,8,Groceries,136,0.51,True,0.84,0.39,Low,16,4.84,High,No,0,Card,False,True,False,13.63,11,24,37,Silver,App,8,-70,2479,True,,168,66.87,4719.0,100024.0,950.52625,3.0,30.5,3810.9880000000003
CUST100025,50,Male,Karaganda,Low,51.15,1,7755.2,496.06,14,Clothing,115,0.08,True,0.31,0.54,Low,3,1.21,High,No,6,Cash,True,False,True,13.07,9,31,36,Silver,SMS,9,47,487,True,Basic,353,32.88,14805.74,100025.0,554.9428571428572,1.2142857142857142,33.5,3892.345
CUST100026,29,Female,Almaty,Low,27.15,6,2983.81,459.0,24,Groceries,129,0.1,True,0.66,0.61,High,2,4.29,Low,No,3,Online Wallet,True,False,True,10.92,7,34,28,Silver,Email,0,8,2165,False,Basic,136,77.44,3871.81,100026.0,125.32541666666667,1.0833333333333333,31.0,1499.6499999999999
CUST100027,39,Female,Almaty,Medium,82.71,4,7650.59,393.33,43,Electronics,277,0.43,False,0.45,0.43,Medium,0,3.4,Low,No,5,Cash,False,False,True,9.73,11,21,29,Bronze,App,4,-1,950,False,,220,26.3,14294.29,100027.0,178.92069767441862,1.0,25.0,3850.108
CUST100028,61,Female,Shymkent,High,18.7,4,1318.27,103.64,40,Groceries,212,0.7,True,0.54,0.34,Low,5,4.74,Medium,Yes,4,Online Wallet,True,True,False,1.09,1,34,17,Gold,App,5,63,2343,True,Premium,88,35.85,17678.64,100028.0,33.95675,1.125,25.5,663.745
CUST100029,42,Female,Karaganda,Medium,36.07,7,1157.32,351.1,41,Electronics,279,0.4,False,0.41,0.25,High,10,2.55,Low,Yes,3,Cash,True,True,False,19.36,10,20,32,Bronze,Social Media,6,-99,1790,False,Basic,134,74.21,3739.58,100029.0,29.22731707317073,1.2439024390243902,26.0,587.481
CUST100030,66,Female,Karaganda,High,55.55,8,5882.17,288.21,25,Beauty,205,0.82,True,0.0,0.51,Low,7,3.74,Medium,No,4,Card,False,True,True,17.65,2,26,7,Gold,App,0,79,2511,True,Premium,118,75.19,12334.01,100030.0,236.2868,1.28,16.5,2956.35
CUST100031,44,Female,Astana,High,86.72,7,581.82,72.0,7,Clothing,309,0.33,True,0.01,0.84,Medium,5,1.34,High,No,2,Online Wallet,False,False,True,10.32,0,29,38,Silver,SMS,7,83,675,False,,152,45.64,3872.15,100031.0,84.11714285714287,1.7142857142857144,33.5,315.92600000000004
CUST100032,59,Female,Almaty,Medium,41.86,9,9392.64,398.37,32,Clothing,224,0.05,True,0.77,0.77,Low,4,2.21,High,Yes,8,Card,True,False,False,3.36,11,31,31,Gold,Social Media,7,99,1429,False,Premium,69,67.16,19184.02,100032.0,294.52,1.125,31.0,4708.0779999999995
CUST100033,45,Female,Karaganda,Medium,39.86,1,3355.58,47.8,23,Clothing,185,0.01,True,0.95,0.51,High,4,2.86,High,No,0,Online Wallet,True,True,True,6.04,5,39,5,Platinum,Email,5,24,3203,True,Basic,273,82.28,14947.5,100033.0,146.89478260869564,1.1739130434782608,22.0,1688.948
CUST100034,33,Male,Karaganda,Low,57.95,9,4822.62,243.4,46,Groceries,185,0.86,True,0.23,0.34,Low,17,2.73,High,No,8,Card,True,True,True,1.9,11,25,38,Platinum,Social Media,7,-15,562,True,Basic,338,95.84,4589.9,100034.0,105.8395652173913,1.3695652173913042,31.5,2425.295
