customer_id,age,gender,city,income_level,loyalty_score,membership_years,total_spent,avg_purchase_value,purchase_frequency,preferred_category,last_purchase_days_ago,discount_usage_rate,online_shopper,email_open_rate,sms_response_rate,app_usage,returns_count,satisfaction_score,churn_risk,campaign_response,referral_count,preferred_payment,coupon_redeemed,seasonal_spender,weekend_shopper,avg_cart_size,store_visits_per_month,website_visits_per_month,app_sessions_per_month,customer_segment,preferred_channel,complaints_count,net_promoter_score,account_age_days,has_subscription,subscription_type,days_since_last_login,engagement_score,lifetime_value_estimate,client_score,spend_per_purchase,return_ratio,engagement_score_custom
CUST100000,56,Male,Almaty,Medium,99.42,4,433.29,189.42,48,Groceries,160,0.6,False,0.62,0.82,Medium,0,3.49,High,Yes,9,Card,False,True,True,2.33,11,48,28,Bronze,App,7,-3,1531,False,Premium,234,15.28,17877.63,246.471,8.84265306122449,0.0,38.0
CUST100001,69,Female,Karaganda,High,56.74,2,2550.19,431.02,28,Beauty,255,0.23,False,0.3,0.35,High,13,1.06,High,No,6,Card,True,True,False,1.31,2,14,12,Bronze,SMS,8,74,1501,False,,277,64.51,17113.97,1289.517,87.93758620689655,0.4482758620689655,13.0
CUST100002,46,Female,Astana,Low,17.38,3,2581.99,213.06,33,Clothing,180,0.21,True,0.89,0.48,Low,16,2.01,High,Yes,3,Cash,False,False,False,11.58,7,31,29,Platinum,Email,6,-73,98,True,Premium,219,2.12,11038.52,1293.0089999999998,75.94088235294117,0.47058823529411764,30.0
CUST100003,32,Female,Shymkent,Low,16.31,3,4508.94,467.89,38,Beauty,88,0.54,True,0.3,0.57,High,7,1.36,High,No,7,Online Wallet,True,True,False,2.19,10,0,26,Gold,Social Media,8,-93,320,False,Premium,241,21.23,18700.16,2257.9629999999997,115.61384615384614,0.1794871794871795,13.0
CUST100004,60,Male,Karaganda,Low,76.39,0,2439.07,373.03,26,Clothing,54,0.24,False,0.95,0.91,High,15,1.26,Medium,Yes,7,Cash,False,False,True,16.46,10,28,17,Platinum,SMS,2,42,2301,False,,88,36.64,9779.39,1239.452,90.33592592592593,0.5555555555555556,22.5
CUST100005,25,Female,Almaty,High,59.19,5,1936.03,355.18,24,Electronics,172,0.11,True,0.04,0.93,Medium,10,2.88,Medium,Yes,3,Card,True,False,True,12.67,1,42,29,Bronze,SMS,2,-53,3504,False,,230,44.58,8404.88,983.7719999999999,77.4412,0.4,35.5
CUST100006,38,Female,Shymkent,Low,54.88,6,7678.72,148.62,5,Clothing,292,0.41,False,0.11,0.63,High,4,4.91,Low,No,8,Online Wallet,False,True,True,12.48,1,33,37,Platinum,SMS,9,-1,2820,True,,164,44.19,15902.53,3855.024,1279.7866666666666,0.6666666666666666,35.0
CUST100007,56,Female,Almaty,Medium,46.58,6,8945.7,399.09,44,Electronics,154,0.05,False,0.73,0.01,Medium,11,2.58,Low,No,1,Card,False,True,False,10.23,10,4,23,Bronze,Email,0,83,2500,True,,175,10.74,4937.76,4484.624000000001,198.79333333333335,0.24444444444444444,13.5
CUST100008,36,Male,Astana,High,72.51,5,764.69,57.11,17,Clothing,217,0.91,True,0.61,0.19,Low,14,4.87,Medium,Yes,9,Cash,False,True,True,9.24,4,13,18,Platinum,App,1,7,573,False,Premium,182,18.0,15606.55,401.298,42.482777777777784,0.7777777777777778,15.5
CUST100009,40,Male,Karaganda,High,85.81,6,2175.57,271.32,45,Electronics,179,0.45,True,0.72,0.2,Medium,11,4.56,High,No,0,Card,False,True,False,12.08,5,37,27,Silver,Email,3,29,188,False,,196,57.53,10987.73,1111.328,47.295,0.2391304347826087,32.0
CUST100010,28,Female,Shymkent,Low,30.3,2,7759.5,369.01,37,Clothing,341,0.01,False,0.64,0.6,Medium,10,1.7,Medium,No,7,Cash,False,True,True,2.02,10,20,29,Gold,Social Media,3,57,1273,True,,209,95.7,3886.63,3886.84,204.19736842105263,0.2631578947368421,24.5
CUST100011,28,Female,Astana,High,22.09,4,8176.76,442.38,15,Groceries,126,0.22,True,0.53,0.71,Low,3,4.53,High,No,1,Cash,False,False,False,7.54,4,19,31,Bronze,Social Media,4,-95,857,True,Basic,280,61.42,6239.85,4094.407,511.0475,0.1875,25.0
CUST100012,41,Female,Karaganda,Medium,67.02,6,5051.59,286.98,2,Electronics,174,0.96,True,0.03,0.09,Medium,12,2.03,High,No,1,Online Wallet,True,False,True,11.31,12,45,31,Platinum,Email,7,-29,2587,True,,76,38.88,13750.33,2543.501,1683.8633333333335,4.0,38.0
CUST100013,53,Male,Karaganda,High,91.47,9,6979.34,132.87,34,Electronics,57,0.5,False,0.81,0.29,Medium,19,1.21,Medium,No,1,Card,False,True,False,4.09,14,29,23,Silver,Social Media,5,81,1225,False,Premium,206,54.15,17910.11,3513.3109999999997,199.4097142857143,0.5428571428571428,26.0
CUST100014,57,Male,Almaty,Medium,34.82,4,868.24,425.19,20,Groceries,134,0.36,True,0.51,0.51,High,15,1.48,Low,No,4,Online Wallet,False,False,False,18.85,12,26,32,Silver,App,3,-48,1748,True,Premium,347,73.16,17675.93,441.56600000000003,41.3447619047619,0.7142857142857143,29.0
CUST100015,41,Male,Almaty,Low,27.24,9,8510.33,385.15,30,Electronics,140,0.32,False,0.11,0.77,High,7,3.07,Medium,No,4,Online Wallet,True,True,True,15.05,2,28,4,Platinum,Email,9,-6,2688,False,,246,40.24,17060.43,4261.937,274.52677419354836,0.22580645161290322,16.0
CUST100016,20,Female,Astana,High,22.61,1,8344.01,81.01,16,Beauty,47,0.42,False,0.19,0.34,High,19,3.5,Medium,No,3,Card,False,True,False,15.39,2,18,5,Silver,Social Media,6,10,2895,True,,264,42.74,3015.32,4174.988,490.8241176470588,1.1176470588235294,11.5
CUST100017,39,Male,Almaty,Medium,25.45,5,6964.68,436.83,44,Beauty,155,0.21,True,0.66,0.5,Low,11,1.1,Medium,No,5,Cash,True,True,False,11.74,2,40,34,Bronze,Social Media,2,-99,3185,False,,158,18.57,770.85,3487.7750000000005,154.77066666666667,0.24444444444444444,37.0
CUST100018,19,Female,Astana,Low,13.49,6,9171.64,480.14,4,Clothing,183,0.75,True,0.08,0.5,High,4,3.81,Low,Yes,8,Cash,False,False,True,7.02,11,18,9,Bronze,Social Media,6,-100,2971,True,,68,2.98,8436.63,4589.066999999999,1834.328,0.8,13.5
CUST100019,41,Female,Astana,Medium,59.68,1,571.58,271.18,31,Beauty,215,0.51,True,0.87,0.93,High,16,1.3,Low,No,4,Cash,True,False,False,18.93,2,32,28,Platinum,Email,8,83,1814,False,Premium,264,75.37,6870.52,300.494,17.861875,0.5,30.0
CUST100020,61,Male,Astana,High,28.08,9,2386.54,23.99,26,Clothing,162,0.75,True,0.79,0.85,High,2,3.6,High,No,5,Cash,True,True,False,14.46,2,3,9,Bronze,Email,4,-36,1758,True,,183,71.97,19291.27,1201.2939999999999,88.39037037037036,0.07407407407407407,6.0
CUST100021,47,Female,Almaty,High,61.49,7,3689.2,458.23,41,Clothing,124,0.25,False,0.31,0.86,High,0,1.24,Medium,No,0,Card,True,True,True,12.15,9,12,16,Silver,Social Media,5,47,611,False,,349,80.86,9659.39,1863.0469999999998,87.83809523809524,0.0,14.0
CUST100022,55,Male,Shymkent,Medium,8.3,4,1670.03,65.77,12,Beauty,310,0.0,False,0.88,0.17,Medium,15,2.2,Medium,Yes,4,Cash,True,False,False,11.62,7,44,2,Platinum,Email,6,7,1332,True,Basic,5,27.37,11160.21,834.505,128.46384615384616,1.1538461538461537,23.0
CUST100023,19,Female,Astana,Low,11.55,7,8166.79,318.4,2,Groceries,352,0.97,False,0.89,0.9,High,2,4.54,High,No,5,Card,False,True,True,8.91,4,26,0,Gold,App,6,31,424,False,Premium,216,83.72,10932.98,4086.46,2722.2633333333333,0.6666666666666666,13.0
CUST100024,38,Female,Shymkent,Low,53.61,2,7596.21,203.45,8,Groceries,136,0.51,True,0.84,0.39,Low,16,4.84,High,No,0,Card,False,True,False,13.63,11,24,37,Silver,App,8,-70,2479,True,,168,66.87,4719.0,3810.9880000000003,844.0233333333333,1.7777777777777777,30.5
CUST100025,50,Male,Karaganda,Low,51.15,1,7755.2,496.06,14,Clothing,115,0.08,True,0.31,0.54,Low,3,1.21,High,No,6,Cash,True,False,True,13.07,9,31,36,Silver,SMS,9,47,487,True,Basic,353,32.88,14805.74,3892.345,517.0133333333333,0.2,33.5
